sign_up_month,가입자,잔존율,활동회원,결제비율,결제자수,ARPPU,매출
1,428.0,0.1378504672897196,59.0,0.423728813559322,25,8840.0,221000
2,481.0,0.23076923076923078,111.0,0.35135135135135137,39,7718.0,301000
3,545.0,0.3137614678899083,171.0,0.3333333333333333,57,8702.0,496000
4,501.0,0.36726546906187624,184.0,0.266304347826087,49,10102.0,495000
5,530.0,0.4490566037735849,238.0,0.24369747899159663,58,9345.0,542000
6,530.0,0.5490566037735849,291.0,0.22336769759450173,65,9185.0,597000
7,495.0,0.6222222222222222,308.0,0.22727272727272727,70,9186.0,643000
8,534.0,0.651685393258427,348.0,0.20689655172413793,72,8806.0,634000
9,632.0,0.7484177215189873,473.0,0.20930232558139536,99,11869.0,1175000
10,737.0,0.8710990502035278,642.0,0.19937694704049844,128,10148.0,1299000
11,2274.0,0.9331574318381706,2122.0,0.1701225259189444,361,9773.0,3528000
12,2784.0,1.0,2784.0,0.17349137931034483,483,8499.0,4105000
